"Package","Version"
"abind","1.4-8"
"afex","1.5-1"
"backports","1.5.1"
"base","4.5.1"
"BayesFactor","0.9.12-4.8"
"bayestestR","0.19.0"
"boot","1.3-31"
"broom","1.0.13"
"BWStest","0.2.3"
"cachem","1.1.0"
"car","3.1-5"
"carData","3.0-6"
"class","7.3-23"
"cli","3.6.6"
"cluster","2.1.8.1"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-3"
"compiler","4.5.1"
"contfrac","1.1-12"
"correlation","0.8.8"
"cowplot","1.2.0"
"cpp11","0.5.5"
"datasets","4.5.1"
"datawizard","1.4.0"
"Deriv","4.3.5"
"desc","1.4.3"
"deSolve","1.42"
"doBy","4.7.2"
"docopt","0.7.2"
"dplyr","1.2.1"
"effectsize","1.0.3"
"elliptic","1.5-1"
"farver","2.1.2"
"fastmap","1.2.0"
"forcats","1.0.1"
"forecast","9.0.2"
"foreign","0.8-90"
"Formula","1.2-6"
"fracdiff","1.5-4"
"generics","0.1.4"
"ggcorrplot","0.3.0"
"ggplot2","4.0.3"
"ggrepel","0.9.8"
"ggside","0.4.1"
"ggsignif","0.6.4"
"ggstatsplot","1.1.1"
"glue","1.8.1"
"gmp","0.7-5.1"
"graphics","4.5.1"
"grDevices","4.5.1"
"grid","4.5.1"
"gtable","0.3.6"
"hypergeo","1.2-14"
"insight","1.5.4"
"isoband","0.3.0"
"KernSmooth","2.23-26"
"kSamples","1.2-12"
"labeling","0.4.3"
"lattice","0.22-7"
"lifecycle","1.0.5"
"littler","0.3.21"
"lme4","2.0-6"
"lmerTest","3.2-1"
"lmtest","0.9-40"
"magrittr","2.0.5"
"MASS","7.3-65"
"Matrix","1.7-3"
"MatrixModels","0.5-4"
"memoise","2.0.1"
"methods","4.5.1"
"mgcv","1.9-3"
"minqa","1.2.8"
"modelr","0.1.11"
"multcompView","0.1-12"
"mvtnorm","1.4-2"
"nlme","3.1-168"
"nloptr","2.2.1"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"paletteer","1.7.0"
"parallel","4.5.1"
"parameters","0.29.3"
"patchwork","1.3.2"
"pbapply","1.7-5"
"pbkrtest","0.5.5"
"performance","0.18.2"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"plyr","1.8.9"
"PMCMRplus","1.9.12"
"prismatic","1.1.2"
"purrr","1.2.2"
"quantreg","6.1"
"QuickJSR","1.11.0"
"R6","2.6.1"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppArmadillo","15.6.0-1"
"RcppEigen","0.3.4.0.2"
"RcppParallel","6.2.1"
"Rdpack","2.6.6"
"reformulas","0.4.4"
"rematch2","2.1.2"
"renv","1.2.4"
"reshape","0.8.10"
"reshape2","1.4.5"
"rlang","1.3.0"
"Rmpfr","1.1-3"
"rpart","4.1.24"
"rstantools","2.7.1"
"rstudioapi","0.19.0"
"S7","0.2.2"
"scales","1.4.0"
"SparseM","1.84-2"
"spatial","7.3-18"
"splines","4.5.1"
"stats","4.5.1"
"stats4","4.5.1"
"statsExpressions","2.1.1"
"stringi","1.8.9"
"stringr","1.6.0"
"SuppDists","1.1-9.9"
"survival","3.8-3"
"tcltk","4.5.1"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"timeDate","4052.112"
"tools","4.5.1"
"urca","1.3-4"
"utf8","1.2.6"
"utils","4.5.1"
"vctrs","0.7.3"
"viridisLite","0.4.3"
"withr","3.0.3"
"WRS2","1.1-7"
"zoo","1.9-0"
